artist	artist_id	name	album	release_year	header	lyrics
Common	22	All Night Long	One Day It’ll All Make Sense	1998	[Verse 2]	"Check it, check it
I was born underwater with three dollars and a cocktail
Tryna make the Garden of Eden, out of Auckdale and Rockwell
Locked in this Grid like a 2Pac tale
Wild hair and rock smells make the cops tail
My third eye is my rail, on this L of thought
With afrocentric stamps I'm mailin' thoughts to my Gods held in court
I dwell where rebellion's taught, and emotions seldom walk
I try to walk like an Egyptian, but Hieroglyphics fail to talk
I guess the hustlin is the unspoken Gospel
Love that I'm an apostle, feel the holy spirit of Chicago
E Bottom, here's the bottle
I think I, need a cup of a tea, because I'm novel
(come on bay-bayyy) Bust it"
Big Pun	24	I’m Not a Player (Clean Version)	Capital Punishment	1997	[Verse 2]	"Yo, I bring a stranger to my torture chamber
Split it dutch the gosh of Vegas
Spark her brains out make it do the macarena
I bring the pain like Method
When I flex and flip the coochie
Puerto Rican to the core, but no Boriquas eat the booty
'Scuse me for bein' blunt, but I've been G'n stunts
Since pimps was pushin' pink Caddies
With the fish tank pumps
Bumpin' and grindin' simultaneously windin'
Climbin' up the walls screamin' big dog you wasn't lyin'
I'm a diamond in the rough, crushin' in my cabin
You ain't fit for the job if can't fit the magnum, yo
Sistas already know the repertoire
Step in my car, let's start the menage a trois' like Escobar
By far, I'm the best at all sex positions
Forget the kissin'
I'm skippin the tongue twistin', see extradition'"
Prodigy	8	Have A Party	Get Rich Or Die Tryin’ Music From And Inspired By The Motion Picture	2005	[Verse 3]	"Listen - you can call me Bandana P or V.I.P
My wrists could buy a bitch a Ph.D
My rings alone could pay for you to eat
For the next few years I'm so icy kid
My flow is long money, my face is Hollywood
My tattoos gon' keep me with a thug part though
My attitude is universal, get harmed - call money
When we get back to Queens we gon' hurt you
Can't afford to ride, you getting stomped out
I got a team of dimes, they all thonged out
Ready to line you up and take you out
My girls is hot, man, they hard to turn down
You pee in your drawers looking like you're Mexican
After lil' shorty wop wop break you off a lil' bit
You so stupid, we so much rich
And who bragging? I'm just trying holler at the chicks like"
Kendrick Lamar	16	The Blacker the Berry	To Pimp a Butterfly	2015	[Bridge]	"Six in the morn'
Fire in the street
Burn, baby, burn (You, you, you, you, you)
That's all I wanna see (You, you, you, you, you)
And sometimes I get off watchin' you die in vain
It's such a shame, they may call me crazy
They may say I suffer from schizophrenia or somethin'
But homie, you made me (You, you, you, you, you)
Black don't crack, my nigga"
Guru	20	ALONGWAYTOGO	Hard to Earn	1994	[Chorus]	"It's a long way to go when you don't know where you're going
You don't know where you're going when you're lost
It's a long way to go when you don't know where you're going
You don't know where you're going when you're lost"
Kanye West	5	Two Words	The College Dropout	2003	[Chorus]	"Now throw your hands up
Hustlers, busters, boosters, hoes
Everybody, fuck that
Still nowhere to go
Still nowhere to go
And keep your hands up
Hustlers, busters, boosters, hoes
Everybody, fuck that
Still nowhere to go
(Yo, excuse me, dawg)
Still nowhere to go
(I apologize for the Westside, we finna get it jukin')
Ayo"
Kendrick Lamar	16	Tammy’s Song (Her Evils)	Section.80	2011	[Chorus]	"Fuck them other niggas 'cause I'm down for my nigga
Fuck them other niggas 'cause I'm down for my nigga
Fuck them other niggas, I'll ride for my nigga
I'll die for my nigga, fuck them other—"
Snoop Dogg	0	No Thang On Me	R&G (Rhythm & Gangsta): The Masterpiece	2004	[Verse 1]	"It's something kind of funny
How the man take your money
Be sure as he can be
It's such a way you'll never see
It's a terrible thing inside
When your natural high has died
What we can't turn to dope
And put all aside the hope"
Guru	20	In Memory Of...	Moment of Truth	1998	[Verse 2]	"To my man Brian B, I remember how you used to be
You were the flyest in the club with three bitches doin rub-a-dub
You was the pimp of all panderers
GQ, Johnny Presley, fuckin up the elegances
So many hookers on your schedule
Slammin Cadillac doors and mackin whores on the regular
You used to boost, the slickest of suits
Climbin through the back windows on the bus, you was ill Dukes
Until that chick you vicked, for the Cutlass
Started snillz-niffin ki-daine, and went to cut cha
That freak shanked you six times in your sleep
I wish you was here, cause your philosophy was mad deep
Yeah... this is in memory of"
Kendrick Lamar	16	Sing About Me, I’m Dying of Thirst	good kid, m.A.A.d city	2012	[Chorus]	"When the lights shut off and it's my turn
To settle down, my main concern
Promise that you will sing about me
Promise that you will sing about me
I said when the lights shut off and it's my turn
To settle down, my main concern
Promise that you will sing about me
Promise that you will sing about me"
Prodigy	8	I Don’t Know, Officer	Get Rich Or Die Tryin’ Music From And Inspired By The Motion Picture	2005	[Verse 2]	"Ayo, that's my word on the stack of bibles
I don't know who did it, I don't know who responsible
All I know who spittin' all I know who givin'
Me all this cash, just to put down twelve to get in yo' ass
Listen, keep it far away from me
I ain't got time for sittin' in the penitentiary
All I know is I'm rich, all I know is that G-Unit work
When the album drop they go berserk
Mad video play, crazy radio spins
Number one all the time, our reign never ends
Don't point the finger at us somebody's hangin'
They had a beef with us, plus we don't know nathin'"
Kendrick Lamar	16	Ronald Reagan Era (His Evils)	Section.80	2011	[Chorus]	"That Compton Crip niggas ain't nothin' to fuck with
Bompton Pirus ain't nothin' to fuck with
Compton éses ain't nothin' to fuck with
But they fuck with me, and bitch, I love it
Woop-di-woop, woop-di-woop-woop, woop-di-woop
Woop-di-woop, woop-di-woop-woop
Woop-di-woop, woop-di-woop-woop, woop-di-woop
Woop-di-woop, woop-di-woop-woop"
Jay-Z	12	Ride Or Die	Vol. 2… Hard Knock Life	1998	[Verse 3]	"Time to separate
The platinum from the white gold, right from the door
The real from the fake, ready rock from the raw
The boss from the runners, cats who ride dick
From the cats with the numbers, the five from the six
I got cop ‘n crash money, pop the dash money
Press the button, all of sudden, Glock in the stash money
Beef with Jigga, watch yo' ass money
It's El Presidente, top brass money
Now I don't flash the steel, I blast for real
My motto: you only good as the last nigga you kill
I'm here to snatch this mil, nigga that's for real
If you rolling with me grab the wheel, let's ride huh?"
Common	22	Nag Champa (Afrodisiac for the World)	Like Water for Chocolate	2000	[Verse 2]	"In this never-ending battle to please
Niggas, magazine writers, emcees
Who request hot shit, I freeze
And tell them where I was rose, we always said cold
Hold your horses and your carriages
This never-went-gold nigga rocks shows carat-less
You not gon' respect self, at least respect the heritage
Affecting lives is where the wealth and the merit is
I realize what I portray day to day, I gotta carry this
And beats, rhymes and life is where the marriage is
Had dreams of fucking R&B broads, it came true
Journalist I wreck, shared the same view
Picked up a fallen angel on the path that I emcee
Familiar voice, come to find out the angel was me
Some say ""You changing, Rashid""
Times are, we still close
I rhyme far, away away away
From what you accustomed to hearing everyday, uh-ah
You know the dope-choppin, gun-poppin, homies dying
I'm amongst it, save the war stories for Private Ryan, INI"
OutKast	28	Idlewild Blue (Don’tchu Worry ’Bout Me)	Idlewild	2006	[Interlude]	"Y'all know 'bout the blues, don't you?
Everybody get the blues
Even babies get the blues"
Rakim	10	I’ll Be There	The Master	1999	[Verse 3]	"Who said something good won't last forever
I know too much of any thing is bad ìwhateverî
Long as we have good and bad times together
Bad times make the good times that much better
Peaches and cream, diamonds and ice
You like pieces of dreams you shinin' in the night
Features of a Queen and your mind frame is tight
Timin' is right get ready for the time of your life
You speak about stackin' gees and havin' seeds
Apparently we know it's no guarantee
But losin' you boo who smooth as you
You unusual this is for the cool in you
And for the chill I will forever come real
Your appeal makes it hard to keep my love concealed
All it took was one look, one kiss, one meal
Now come feel, let's make this a done deal"
OutKast	28	When I Look in Your Eyes	Idlewild	2006	[Verse 1]	"I've been around the world
Seen so many pretty girls
But I still get overwhelmed
When I look in your eyes"
Nas	9	U Wanna Be Me	8 Mile	2002	[Verse 2]	"You can't be me, not in your wildest fantasy
It's childish; should I have to resort to violence?
Pay me a half a million, I'll consult your album
And show you how to stay off my dick
That's the thing I hate the most, can't even call you a man
When you gotta call out my name to get you some fans
No talent, you need direction; you a pussy with a yeast infection
You unlucky, I'm your fucking C-section
Plus I'm the last real nigga alive
Toast glass, Ill Will, the label get high
Realize, how many classics I gave you
Perhaps if you think back you'll realize that I made you"
Big Pun	24	Super Lyrical	Capital Punishment	1998	[Chorus]	"Lyrically, I'm supposed to represent
Niggas'll tell you that I'm nice with the blah, blah, blah
Lyrically, I'm-I'm-I'm, I'm supposed to represent"
Rakim	10	The Mystery (Who Is God?)	The 18th Letter	1997	[Chorus]	"If you can, see if you can solve the mystery
The answer revolves around your history
So carefully, I drop this degree
Scientifically and realistically
If you can see, if you can solve the mystery
The answer revolves around your history
So carefully, I drop this degree
Scientifically and realistically (Who is God?)"
Travis Scott	33	NO BYSTANDERS	ASTROWORLD	2018	[Pre-Chorus]	"(Oh-oh, oh-oh, oh, oh-oh-oh)
Spent ten hours on this flight, man (Flight, man)
Told the pilot ain't no flight plans (Flight plans)
Can't believe whatever I'm seein' (I'm seein')
(Oh-oh, oh-oh, oh, oh-oh-oh)
And they know whenever I land (I land)
Yeah, yeah, yeah, yeah"
Rakim	10	R.A.K.I.M.	8 Mile	2002	[Verse 1]	"Aiyyo when Rakim Allah attack, it's a wrap y'all relax
The almanac, just show me where the party's at
Seminars and tracks, whores, comas, and cardiacs
Broads and cats screaming ""Oh my God he's back""
Just imagine, I hit the lab and get it crackin'
A thousand styles in one verse, rhythms will switch patterns
Chicks get stabbed in the back, till they get spasms
Known to spit a magnum, or split an atom
Who woulda known that Jesus would come back to the ghetto
On that level, and that thorough, like a black hero
And pack metal, so rap rebels, will back pedal
The pharaoh of five boroughs, and take over the rap world
Gettin' bizarre, hardcore, this is for y'all
The crib or the park, play it when you get in the car
Chill at the bar, sip somethin' or split a cigar
Get with your dogs, don't be alarmed, this kid is the bomb
It's the..."
